UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AM;ENTRADA;VISITANTE;ROMÊNIA;3
AM;ENTRADA;VISITANTE;SURINAME;2
AM;ENTRADA;VISITANTE;SUÉCIA;18
AM;ENTRADA;VISITANTE;SUÍÇA;45
AM;ENTRADA;VISITANTE;SÉRVIA;3
AM;ENTRADA;VISITANTE;TAIWAN;2
AM;ENTRADA;VISITANTE;TURQUIA;3
AM;ENTRADA;VISITANTE;UCRÂNIA;2
AM;ENTRADA;VISITANTE;URUGUAI;5
AM;ENTRADA;VISITANTE;VENEZUELA;54
AM;ENTRADA;VISITANTE;ÁFRICA DO SUL;5
AM;ENTRADA;VISITANTE;ÁUSTRIA;7
AM;ENTRADA;VISITANTE;ÍNDIA;1
AM;ENTRADA;VISITANTE;ALEMANHA;1
AM;ENTRADA;VISITANTE;ARGENTINA;1
AM;ENTRADA;VISITANTE;AUSTRÁLIA;2
AM;ENTRADA;VISITANTE;CANADÁ;2
AM;ENTRADA;VISITANTE;CHINA;4
AM;ENTRADA;VISITANTE;COLÔMBIA;17
AM;ENTRADA;VISITANTE;CORÉIA DO SUL;16
AM;ENTRADA;VISITANTE;COSTA RICA;1
AM;ENTRADA;VISITANTE;EL SALVADOR;1
AM;ENTRADA;VISITANTE;ESPANHA;1
AM;ENTRADA;VISITANTE;ESTADOS UNIDOS;17
AM;ENTRADA;VISITANTE;FRANÇA;1
AM;ENTRADA;VISITANTE;ITÁLIA;2
AM;ENTRADA;VISITANTE;JAPÃO;5
AM;ENTRADA;VISITANTE;MÉXICO;16
AM;ENTRADA;VISITANTE;PANAMÁ;1
AM;ENTRADA;VISITANTE;PAÍSES BAIXOS;1
AM;ENTRADA;VISITANTE;POLÔNIA;1
AM;ENTRADA;VISITANTE;PORTUGAL;1
AM;ENTRADA;VISITANTE;REPÚBLICA DOMINICANA;1
AM;ENTRADA;VISITANTE;TAIWAN;2
AM;ENTRADA;VISITANTE;ARGENTINA;2
AM;ENTRADA;VISITANTE;COLÔMBIA;1
AM;ENTRADA;VISITANTE;IRLANDA;1
AM;ENTRADA;VISITANTE;POLÔNIA;1
AM;ENTRADA;VISITANTE;REPÚBLICA TCHECA;7
AM;ENTRADA;VISITANTE;ROMÊNIA;1
AM;ENTRADA;VISITANTE;VENEZUELA;3
AM;ENTRADA;VISITANTE;COLÔMBIA;1
AM;ENTRADA;OUTROS;PERU;1
AM;ENTRADA;OUTROS;ARGENTINA;1
AM;ENTRADA;OUTROS;ARÁBIA SAUDITA;1
AM;ENTRADA;OUTROS;COLÔMBIA;2
AM;ENTRADA;OUTROS;JAPÃO;2
AM;ENTRADA;OUTROS;ALEMANHA;1
AM;ENTRADA;OUTROS;FILIPINAS;12
AM;ENTRADA;OUTROS;PERU;25
AM;ENTRADA;OUTROS;RÚSSIA;1
AM;ENTRADA;OUTROS;UCRÂNIA;1
AM;ENTRADA;OUTROS;ARGENTINA;3
AM;ENTRADA;OUTROS;AUSTRÁLIA;2
AM;ENTRADA;OUTROS;BRASIL;185
AM;ENTRADA;OUTROS;CANADÁ;1
AM;ENTRADA;OUTROS;CHILE;14
AM;ENTRADA;OUTROS;COLÔMBIA;56
AM;ENTRADA;OUTROS;CORÉIA DO SUL;11
AM;ENTRADA;OUTROS;EQUADOR;15
AM;ENTRADA;OUTROS;ESTADOS UNIDOS;67
AM;ENTRADA;OUTROS;PORTUGAL;1
AM;ENTRADA;OUTROS;REPÚBLICA DOMINICANA;2
AM;ENTRADA;OUTROS;REPÚBLICA TCHECA;11
AM;ENTRADA;OUTROS;URUGUAI;1
AM;ENTRADA;OUTROS;VENEZUELA;4
AM;ENTRADA;OUTROS;CHILE;1
AM;ENTRADA;OUTROS;PORTUGAL;1
AM;ENTRADA;OUTROS;COLÔMBIA;1
AM;ENTRADA;OUTROS;CUBA;6
AM;ENTRADA;OUTROS;PAQUISTÃO;1
AM;ENTRADA;OUTROS;PERU;2
AM;ENTRADA;OUTROS;REINO UNIDO;1
AM;ENTRADA;OUTROS;VENEZUELA;4
AM;ENTRADA;OUTROS;COLÔMBIA;1
AM;ENTRADA;OUTROS;CUBA;2
AM;ENTRADA;OUTROS;ALEMANHA;2
AM;ENTRADA;OUTROS;COLÔMBIA;8
AM;ENTRADA;OUTROS;DINAMARCA;2
AM;ENTRADA;OUTROS;ESPANHA;3
AM;ENTRADA;OUTROS;ESTADOS UNIDOS;3
AM;ENTRADA;OUTROS;ITÁLIA;8
AM;ENTRADA;OUTROS;PERU;2
AM;ENTRADA;OUTROS;PORTUGAL;47
AM;ENTRADA;OUTROS;SUÉCIA;2
AM;ENTRADA;OUTROS;SUÍÇA;1
AM;ENTRADA;TEMPORÁRIO;COLÔMBIA;1
AM;ENTRADA;TEMPORÁRIO;CUBA;1
AM;ENTRADA;TEMPORÁRIO;ESPANHA;1
AM;ENTRADA;TEMPORÁRIO;FRANÇA;4
AM;ENTRADA;TEMPORÁRIO;ITÁLIA;1
AM;ENTRADA;TEMPORÁRIO;PORTUGAL;1
AM;ENTRADA;OUTROS;BRASIL;10841
AM;SAIDA;PERMANENTE;ALEMANHA;2
AM;SAIDA;PERMANENTE;ARGENTINA;5
AM;SAIDA;PERMANENTE;CHINA;1
AM;SAIDA;PERMANENTE;COLÔMBIA;105
AM;SAIDA;PERMANENTE;CORÉIA DO SUL;5
AM;SAIDA;PERMANENTE;COSTA RICA;4
AM;SAIDA;PERMANENTE;CUBA;13
AM;SAIDA;PERMANENTE;DINAMARCA;2
AM;SAIDA;PERMANENTE;EGITO;1
AM;SAIDA;PERMANENTE;EQUADOR;4
AM;SAIDA;PERMANENTE;ESPANHA;4
AM;SAIDA;PERMANENTE;ESTADOS UNIDOS;30
AM;SAIDA;PERMANENTE;FRANÇA;3
AM;SAIDA;PERMANENTE;GUATEMALA;1
AM;SAIDA;PERMANENTE;ITÁLIA;7
AM;SAIDA;PERMANENTE;JAPÃO;4
AM;SAIDA;PERMANENTE;MÉXICO;6
AM;SAIDA;PERMANENTE;PAÍSES BAIXOS;2
AM;SAIDA;PERMANENTE;PERU;40
AM;SAIDA;PERMANENTE;PORTUGAL;5
AM;SAIDA;PERMANENTE;REINO UNIDO;2
AM;SAIDA;PERMANENTE;REPÚBLICA DOMINICANA;2
AM;SAIDA;PERMANENTE;SURINAME;1
AM;SAIDA;PERMANENTE;SUÉCIA;1
AM;SAIDA;PERMANENTE;SUÍÇA;2
AM;SAIDA;PERMANENTE;VENEZUELA;27
AM;SAIDA;PERMANENTE;ÍNDIA;1
AM;SAIDA;PERMANENTE;;1
AM;SAIDA;VISITANTE;ALBÂNIA;2
AM;SAIDA;VISITANTE;ALEMANHA;125
AM;SAIDA;VISITANTE;ANTÍGUA E BARBUDA;1
AM;SAIDA;VISITANTE;ARGENTINA;17
AM;SAIDA;VISITANTE;ARGÉLIA;1
AM;SAIDA;VISITANTE;ARÁBIA SAUDITA;2
AM;SAIDA;VISITANTE;AUSTRÁLIA;28
AM;SAIDA;VISITANTE;BELIZE;1
AM;SAIDA;VISITANTE;BOLÍVIA;4
AM;SAIDA;VISITANTE;BULGÁRIA;2
AM;SAIDA;VISITANTE;BÉLGICA;7
